split,context,y,memory_hit,c_h,n1,top_prob,mixer_loss,full_memory_loss,delta_loss
test,"(427, 264)",316,1,42.0,15.0,0.2857142984867096,5.876100,5.079654,0.796446
test,"(133, 264)",461,1,73.0,16.0,0.2876712381839752,2.675611,2.198117,0.477493
test,"(84, 441)",72,1,56.0,6.0,0.4821428656578064,4.371243,1.332523,3.038720
test,"(79, 182)",69,1,233.0,16.0,0.6824034452438354,3.823336,3.037738,0.785597
test,"(12, 7)",82,1,3.0,2.0,0.6666666865348816,3.980296,0.943509,3.036788
test,"(8, 60)",180,1,316.0,37.0,0.1139240488409996,2.701473,3.216367,-0.514893
test,"(72, 87)",62,1,188.0,28.0,0.26595744490623474,3.094278,1.752871,1.341407
test,"(278, 13)",73,1,11.0,3.0,0.8181818127632141,4.895705,0.389992,4.505712
test,"(25, 79)",182,1,5.0,2.0,0.6000000238418579,3.856638,0.882358,2.974280
test,"(8, 328)",134,1,87.0,21.0,0.26436781883239746,1.793390,1.330029,0.463360
test,"(134, 74)",68,1,363.0,25.0,0.6831955909729004,1.187895,0.425969,0.761926
test,"(200, 83)",82,1,634.0,65.0,0.25867506861686707,3.340742,1.659211,1.681530
test,"(79, 8)",419,1,66.0,17.0,0.3636363744735718,4.624508,3.069839,1.554669
test,"(79, 200)",83,1,315.0,9.0,0.37142857909202576,2.337654,1.132672,1.204982
test,"(320, 288)",188,1,125.0,3.0,0.5120000243186951,4.963159,1.366190,3.596968
test,"(227, 303)",190,1,1.0,1.0,1.0,2.094602,1.317123,0.777479
test,"(12, 70)",428,1,69.0,9.0,0.4057970941066742,3.460245,1.525214,1.935031
test,"(267, 79)",336,1,379.0,12.0,0.8364115953445435,7.362654,5.794803,1.567851
test,"(70, 428)",378,1,183.0,5.0,0.6666666865348816,4.829667,2.573125,2.256542
test,"(256, 445)",82,1,399.0,45.0,0.1303258091211319,2.319248,2.018105,0.301144
test,"(70, 428)",76,1,183.0,5.0,0.6666666865348816,4.257976,0.509712,3.748263
test,"(445, 82)",11,1,88.0,19.0,0.1931818127632141,3.558038,3.196876,0.361162
test,"(50, 398)",58,1,234.0,14.0,0.747863233089447,3.317208,4.769017,-1.451809
test,"(194, 182)",80,1,51.0,2.0,0.843137264251709,4.196776,0.290082,3.906694
test,"(25, 224)",231,1,381.0,41.0,0.1312336027622223,3.808439,3.292908,0.515531
test,"(60, 11)",186,1,485.0,48.0,0.09690721333026886,3.201798,2.507765,0.694034
test,"(43, 72)",65,1,194.0,5.0,0.6855670213699341,1.712919,2.182360,-0.469442
test,"(36, 11)",133,1,49.0,17.0,0.16326530277729034,3.769910,4.509982,-0.740072
test,"(82, 25)",245,1,913.0,60.0,0.1489594727754593,7.998652,7.914809,0.083843
test,"(82, 8)",343,1,622.0,44.0,0.17845658957958221,4.262027,3.593243,0.668784
test,"(343, 461)",134,1,148.0,7.0,0.837837815284729,0.757778,0.206345,0.551433
test,"(58, 51)",68,1,22.0,2.0,0.5454545617103577,2.429343,0.749686,1.679658
test,"(62, 227)",13,1,139.0,20.0,0.32374101877212524,3.977400,5.268313,-1.290913
test,"(7, 264)",213,1,27.0,12.0,0.18518517911434174,2.945821,1.851196,1.094624
test,"(7, 224)",213,1,72.0,17.0,0.1666666716337204,2.752809,2.159658,0.593151
test,"(227, 8)",484,1,34.0,13.0,0.5,4.762947,4.724875,0.038072
test,"(82, 133)",133,1,263.0,21.0,0.44486692547798157,1.778769,1.384937,0.393832
test,"(435, 180)",195,1,67.0,16.0,0.6567164063453674,10.660745,4.082033,6.578712
test,"(195, 313)",199,1,17.0,1.0,1.0,3.238619,0.141167,3.097453
test,"(134, 196)",25,1,637.0,28.0,0.5023548007011414,1.749619,0.752076,0.997543
test,"(51, 78)",257,1,463.0,37.0,0.24622030556201935,3.141617,1.681293,1.460324
test,"(298, 88)",7,1,7.0,3.0,0.4285714328289032,3.588408,1.193681,2.394726
test,"(13, 32)",234,1,80.0,12.0,0.48750001192092896,2.258197,2.760116,-0.501919
test,"(354, 77)",68,1,98.0,1.0,1.0,4.132916,0.110636,4.022281
test,"(20, 427)",186,1,10.0,3.0,0.699999988079071,1.727737,0.486922,1.240815
test,"(16, 180)",134,1,47.0,15.0,0.2978723347187042,1.564623,1.555203,0.009420
test,"(17, 180)",134,1,41.0,14.0,0.24390244483947754,1.505259,2.055385,-0.550126
test,"(287, 79)",75,1,505.0,29.0,0.5683168172836304,3.763596,2.821934,0.941662
test,"(14, 14)",70,1,553.0,41.0,0.49005424976348877,7.010612,4.919058,2.091554
test,"(261, 268)",133,1,43.0,7.0,0.27906978130340576,2.185944,1.666917,0.519027
test,"(200, 74)",84,1,189.0,28.0,0.27513226866722107,3.808534,1.453939,2.354595
test,"(226, 238)",476,1,257.0,34.0,0.1595330685377121,2.949255,1.903987,1.045268
test,"(33, 447)",7,1,79.0,10.0,0.6582278609275818,3.340086,0.462065,2.878021
